Title,Author
Tripping the field: an existential crisis of ungodly proportions,Ian Jaydid
Forever People,Alison Lyke
The Girl In The Coffee Shop,Jody Cobalt
MarDale,J.D. Lightner
Van Life,J.C. Kinsale
Born to the Dark,Ramsey Campbell
Ain't No Messiah (Tales of the Blessed and Broken #1),Mark Tullius
Places Where The Moon Never Shines: 8 Twisted Tales,Leon Thornton
How Times Have Changed: A Thrilling Science Fiction Novel,Sam Denman
The Strange Adventures of Turquoise Moonwolf,Gerri R. Gray
Unreal: An Anthology Of Speculative Fiction: Volume 1,Aditya Deshmukh
Scratch,Thomas W.  Brown
A Nest of Nightmares,Lisa Tuttle
Nibiru,Karl Tenbro
Aliens\, Drywall\, and a Unicycle,Kevin St. Jarre
Defiance: A Novel (The Deliverance\, #4),Samantha Schinder
Lush,Anne-Marie Yerks
The Suicide Shop,Jean Teulé
The Changeling,Victor LaValle
Hey Boy,A.W.W. Bremont
The Ripper,James G.  Robertson
Make Me Exist (Lost in Time\, #1),Brittany Ziegler
A Single Round,R.A. Jacobson
Ékleipsis,Tamel Wino
Mrs. Caliban,Rachel Ingalls
Over The Hills Of Green (2) (Green Hills),E.V. Svetova
Now That You Have Seen Me,C.L.  Roberts
The Song of Percival Peacock,Russell Edson
The Gold Persimmon,Lindsay Merbaum
The Briarmen,Joseph A. Chadwick
Earthlings,Sayaka Murata
Reprieve,James Han Mattson
Mart of Darkness: When More is Not Enough,Phil Granchi
Tales From the Liminal,S.K. Kruse
White Is for Witching,Helen Oyeyemi
Cochran Brittle and the Seed of Herby Groon,Caspian Sireno
Radiance,Catherynne M. Valente
Tasmanian Gothic,Mikhaeyla Kopievsky
Snow City,G.A. Kathryns
Arachniss,Shawn C. Butler
The Marketer: Another Berlin Story,Antonio La Matina
The Leafy Man of My Dreams,Marco May
A Master of Djinn (Dead Djinn Universe\, #1),P. Djèlí Clark
The Tale of Halcyon Crane,Wendy     Webb
Secrets of the Kharon,M.J. Hewitt
Last to Leave the Room,Caitlin  Starling
Rat,Kevin Lavey
The Crypt Kid,Mike Dubisch
Indigo (Inzycht\, #1),Stijn Moreels
What Moves the Dead (Sworn Soldier\, #1),T. Kingfisher
Under the Thelián Sky: Beyond the Great Unknown,Frank Olvera
The Dead Sheriff: Zombie Damnation (Book #1),Mark Justice
Spiritus Mundi (Spiritus Mundi\, #1),Robert   Sheppard
Ann Marie's Asylum (Master and Apprentice\, #1),Christopher Rankin
The Everborn,Nicholas Grabowsky
Chloes,Dean Garlick
Lick the Razor,D.B. Tarpley
Vampire Princess Rising (The Winters Family Saga\, #2),Jami Brumfield
The Voice of the Tiger\, A War Romance During the Malayan Emergency,Markham Turner
Procession of the Dead (The City Trilogy\, #1),D.B. Shan
Bear of a Storm,Sahara Foley
Homicidal Aliens and Other Disappointments,Brian Yansky
The Ringmaster's Gambit (The Game\, #2),Yannis Karatsioris
The Tunnel,William H. Gass
The Brothers Crunk,William Pauley III
Escape of the 50-Foot Prison Bitch,Mark McLaughlin
A Dwarf Stood At The Door,Norman Crane
Starfire,Paul Preuss
Shutdown,Shaun Meeks
The People of Paper,Salvador Plascencia
Crooked,Richard Pett
Thunderer,Felix Gilman
Deep in Your Shadows (The Village\, #2),Darien Cox
Demonspawn,Christina Engela
The Death of Fear (The Damned Hunger Chronicles\, #1),D.B. Tarpley
Things We Lost in the Fire,Mariana Enríquez
Adam Frankenstein: A Collection of Short Stories,Sheila English
My Year of Rest and Relaxation,Ottessa Moshfegh
Karass: A Gathering of Souls (Karass Chronicles #1),Beca Lewis
Jatismar: A Past Life Forgiven (Karass Chronicles #3),Beca Lewis
True Ghost Stories of Borneo: True & Real First Accounts of Ghost Encounters,Aammton Alias
Angelos Odyssey: Volume One,J.B.M. Patrick
Demon's Carnival: The Further Adventures Of Biblo the Clown,T. Thornton Gray
The Quelling,Barbara Barrow
The Little Light (The Guardians of the Lore #1),Dipa Sanatani
The Searching Dead,Ramsey Campbell
Incognolio,Michael B. Sussman
Canciones de un soñador muerto: \"La agónica resurrección de Victor Frankenstein\" y otros relatos góticos,Thomas Ligotti
Stealing Hugo,Leon Thornton
The Slave Players,Megan  Allen
There and Never\, Ever Back Again: Diary of a Dark Lord,Jeff Mach
The Amnesia Girl!,Gerri R. Gray
What Monsters Do for Love: Volume Three,Gabriel Grobler
Renderings,James Sallis
The Virtual Entity,Richard  Street
WHERE WERE YOU?: Ten Terrifying Tales,Ryan Berridge
Lucky King,Bruce Griffin Henderson
A Wild Sheep Chase (The Rat\, #3),Haruki Murakami
Felix Boni and the Reanimation of Craig Rotter,Caspian Sireno
Beasts of Sonara,Shawn C. Butler
The Spanish Inn,Jean Louis Bergonzo
Qualityland (QualityLand\, #1),Marc-Uwe Kling
The Faceless Old Woman Who Secretly Lives In Your Home (Welcome to Night Vale #3),Joseph Fink
Bloodland Tales,M.J. Hewitt
The City of Dreaming Books (Zamonia\, #4),Walter Moers
THE EARTHLINGS,Mike Dubisch
Wildblood,Lauren Blackwood
DarkWalker,John Urbancik
The Prodigal,Alexander J. Allison
Diverse Tales,Nicholas Grabowsky
The Witch's Vampire (Mystery Springs #1),Jami Brumfield
The Wake Crasher,Robert Durrant
Hell's Horizon (The City Trilogy\, #2),D.B. Shan
Keeper of the Unicorns,Sahara Foley
Enter the Uncreated Night,Christopher Rankin
The Silver Bough,Lisa Tuttle
Hideous Faces\, Beautiful Skulls,Mark McLaughlin
Iris,Norman Crane
The Shadow at the Bottom of the World,Thomas Ligotti
Glyphotech,Mark Samuels
Morbid Tales,Quentin S. Crisp
Fighting Out of New Milford\, USA (Zombie\, #2),G.B. Hope
Trapped in Your Storm (The Village\, #3),Darien Cox
Someone Comes to Town\, Someone Leaves Town,Cory Doctorow
The Many,Wyl Menmuir
Until We Collide,Charlotte Fallowfield
Dangerous Laughter,Steven Millhauser
Creation I - Tales of Goodly Might,Eric K. Barnum
